 [ distance :-24 , Curvature -33 , goc_lech: 20.425 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -33 , goc_lech: 20.0 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.212500000000002 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-19 , Curvature -34 , goc_lech: 20.8875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 21.125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-21 , Curvature -34 , goc_lech: 20.662499999999998 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -31 , goc_lech: 20.5125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.3875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -34 , goc_lech: 21.0 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 21.350000000000005 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-15 , Curvature -38 , goc_lech: 20.9125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 21.2375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -33 , goc_lech: 20.3125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 19.9875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -33 , goc_lech: 20.537499999999998 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.425 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -34 , goc_lech: 20.325 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.0 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -33 , goc_lech: 20.400000000000002 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.212500000000002 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-22 , Curvature -34 , goc_lech: 20.55 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -34 , goc_lech: 20.825 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 21.350000000000005 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-44 , Curvature -41 , goc_lech: 17.425 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 14.2125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -33 , goc_lech: 20.537499999999998 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.425 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-22 , Curvature -32 , goc_lech: 20.75 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -34 , goc_lech: 20.55 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-17 , Curvature -36 , goc_lech: 20.287499999999998 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -33 , goc_lech: 21.0875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -33 , goc_lech: 20.224999999999998 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.212500000000002 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -33 , goc_lech: 20.425 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.2 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -34 , goc_lech: 20.4125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-17 , Curvature -35 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 21.375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -33 , goc_lech: 20.400000000000002 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -33 , goc_lech: 20.1125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -33 , goc_lech: 20.224999999999998 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.2 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -36 , goc_lech: 20.775000000000002 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -33 , goc_lech: 20.75 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -33 , goc_lech: 20.0 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -33 , goc_lech: 20.1125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.4375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -34 , goc_lech: 20.975 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 21.350000000000005 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -34 , goc_lech: 20.3 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.0 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -32 , goc_lech: 20.412499999999998 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -32 , goc_lech: 19.9625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -34 , goc_lech: 20.55 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -34 , goc_lech: 21.1625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.225 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -34 , goc_lech: 20.975 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 21.350000000000005 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -34 , goc_lech: 20.975 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-17 , Curvature -37 , goc_lech: 21.537500000000005 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.9875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-17 , Curvature -35 , goc_lech: 21.0125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 21.375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -34 , goc_lech: 20.3 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-22 , Curvature -34 , goc_lech: 19.925 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.45 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-22 , Curvature -32 , goc_lech: 20.75 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.85 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-17 , Curvature -35 , goc_lech: 20.9875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -34 , goc_lech: 21.075 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -34 , goc_lech: 19.8125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -34 , goc_lech: 20.0375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.225 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -32 , goc_lech: 20.3875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -33 , goc_lech: 20.0875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -33 , goc_lech: 20.224999999999998 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-44 , Curvature -41 , goc_lech: 17.0 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -36 , goc_lech: 14.375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.95 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -34 , goc_lech: 20.3 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -34 , goc_lech: 19.7 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -34 , goc_lech: 20.375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 21.3625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -34 , goc_lech: 20.4375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-45 , Curvature -41 , goc_lech: 17.025000000000002 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-21 , Curvature -34 , goc_lech: 14.237499999999999 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-22 , Curvature -34 , goc_lech: 20.599999999999998 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-44 , Curvature -41 , goc_lech: 17.25 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -34 , goc_lech: 14.012500000000001 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.225 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -34 , goc_lech: 20.3 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -34 , goc_lech: 19.8125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -31 , goc_lech: 20.1125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -34 , goc_lech: 20.4125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -34 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 21.3625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -34 , goc_lech: 20.4375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -34 , goc_lech: 19.925 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -34 , goc_lech: 19.7 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.0 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -34 , goc_lech: 20.3 , toc_do: 97real_velocity: 0.00 m/s]
