 [ distance :13 , Curvature -1 , goc_lech: 40.95416666666667 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 40.672222222222224 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.236111111111114 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -4 , goc_lech: 41.11527777777778 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :19 , Curvature -5 , goc_lech: 41.00787037037037 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -6 , goc_lech: 40.927314814814814 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 40.55138888888889 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.19583333333333 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -6 , goc_lech: 40.87361111111111 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 40.55138888888889 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.19583333333333 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.20925925925926 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.236111111111114 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :19 , Curvature -4 , goc_lech: 41.356944444444444 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -6 , goc_lech: 41.14212962962963 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -6 , goc_lech: 40.22916666666667 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :15 , Curvature -4 , goc_lech: 40.20231481481482 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :19 , Curvature -4 , goc_lech: 40.63194444444445 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -6 , goc_lech: 41.14212962962963 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 40.56481481481482 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.236111111111114 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -6 , goc_lech: 41.0212962962963 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :19 , Curvature -7 , goc_lech: 40.6050925925926 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 40.81990740740741 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :16 , Curvature -2 , goc_lech: 41.1824074074074 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :22 , Curvature -6 , goc_lech: 41.45092592592593 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -4 , goc_lech: 41.652314814814815 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :16 , Curvature -3 , goc_lech: 40.86018518518518 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :15 , Curvature -4 , goc_lech: 40.6050925925926 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -6 , goc_lech: 40.2962962962963 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -7 , goc_lech: 40.48425925925926 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 40.59166666666667 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.236111111111114 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.236111111111114 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.236111111111114 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.236111111111114 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -6 , goc_lech: 41.0212962962963 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -6 , goc_lech: 40.59166666666667 , toc_do: 98real_velocity: 0.00 m/s]
